date,twoPM,fourPM,ninePM
"'Aug 15, 2010'",'079','868','841'
"'Aug 16, 2010'",'867','447','488'
"'Aug 17, 2010'",'225','986','710'
"'Aug 18, 2010'",'233','185','940'
"'Aug 19, 2010'",'316','808','907'
"'Aug 20, 2010'",'809','898','043'
"'Aug 21, 2010'",'026','277','569'
"'Aug 22, 2010'",'977','298','242'
"'Aug 23, 2010'",'438','089','812'
"'Aug 24, 2010'",'084','340','877'
"'Aug 25, 2010'",'549','958','193'
"'Aug 26, 2010'",'747','429','133'
"'Aug 27, 2010'",'568','089','208'
"'Aug 28, 2010'",'596','949','372'
"'Aug 29, 2010'",'808','772','927'
"'Aug 30, 2010'",'376','541','386'
"'Aug 31, 2010'",'675','192','703'
"'Sep 01, 2010'",'139','238','496'
"'Sep 02, 2010'",'878','612','444'
"'Sep 03, 2010'",'127','288','425'
"'Sep 04, 2010'",'481','009','653'
"'Sep 05, 2010'",'687','610','157'
"'Sep 06, 2010'",'869','417','350'
"'Sep 07, 2010'",'939','413','394'
"'Sep 08, 2010'",'121','960','518'
"'Sep 09, 2010'",'273','709','232'
"'Sep 10, 2010'",'991','470','324'
"'Sep 11, 2010'",'309','551','698'
"'Sep 12, 2010'",'144','242','406'
"'Sep 13, 2010'",'662','420','536'
"'Sep 14, 2010'",'231','661','568'
"'Sep 15, 2010'",'958','061','475'
"'Sep 16, 2010'",'764','667','966'
"'Sep 17, 2010'",'368','584','232'
"'Sep 18, 2010'",'855','808','887'
"'Sep 19, 2010'",'113','153','179'
"'Sep 20, 2010'",'956','874','474'
"'Sep 21, 2010'",'351','717','103'
"'Sep 22, 2010'",'460','174','142'
"'Sep 23, 2010'",'760','842','175'
"'Sep 24, 2010'",'057','455','110'
"'Sep 25, 2010'",'776','340','376'
"'Sep 26, 2010'",'022','179','399'
"'Sep 27, 2010'",'515','996','773'
"'Sep 28, 2010'",'821','217','705'
"'Sep 29, 2010'",'617','664','276'
"'Sep 30, 2010'",'437','620','919'
"'Oct 01, 2010'",'230','992','396'
"'Oct 02, 2010'",'291','927','716'
"'Oct 03, 2010'",'530','014','883'
"'Oct 04, 2010'",'646','004','671'
"'Oct 05, 2010'",'822','094','764'
"'Oct 06, 2010'",'749','495','380'
"'Oct 07, 2010'",'792','380','987'
"'Oct 08, 2010'",'055','349','139'
"'Oct 09, 2010'",'267','797','393'
"'Oct 10, 2010'",'766','149','486'
"'Oct 11, 2010'",'078','863','718'
"'Oct 12, 2010'",'222','740','445'
"'Oct 13, 2010'",'173','808','369'
"'Oct 14, 2010'",'167','409','287'
"'Oct 15, 2010'",'691','895','211'
"'Oct 16, 2010'",'923','485','988'
"'Oct 17, 2010'",'523','062','557'
"'Oct 18, 2010'",'662','269','428'
"'Oct 19, 2010'",'737','507','979'
"'Oct 20, 2010'",'782','310','829'
"'Oct 21, 2010'",'962','440','783'
"'Oct 22, 2010'",'019','057','076'
"'Oct 23, 2010'",'894','474','615'
"'Oct 24, 2010'",'768','806','865'
"'Oct 25, 2010'",'799','847','979'
"'Oct 26, 2010'",'613','044','018'
